序号	文件名	环ID	节点	路由耗时(ns)
180	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	601
181	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	567
182	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	666
183	QmR8ZjmriFj5Yd3XtmAVmcqP26JBZbxy76nNudMiLpmtGg	ring2	node18	573
184	QmVCYhsRUQAxw2DFPjQ3A6V9KoA3JQLdKUNgjoBwuHnpMA	ring2	node10	2261
185	QmYD9AtzyQPjSa9jfZcZq88gSaRssdhGmKqQifUDjGFfXm	ring2	node14	698
186	QmQTXj6Y79YywXfpcxUs5X3e2ey4Xm4vJ8ApU9EApVSbsH	ring0	node16	645
187	QmT5ZnzWR2Y9bwtWypVQgFoYMSyi8CDt2Mh3eFeDu4cFc1	ring1	node9	7217
188	QmfFzMB7oZhmTZ8aXEj2anhBL6zk4KnuV2LqwV7vZQWwF4	ring3	node19	795
189	QmSLSCRgqJA1RPRTtSBHriXj32nWAkbZqRs33gUKrXE6BK	ring3	node7	447
190	QmTfRPuCgmqvNHdiAR187CnTBF7NGEWmDgbWnVdVWEXhKG	ring1	node29	565
191	QmbnRpxt4aqDWCXkaVtQwZhrmrGBuXRyRCJBNtSy3P3qMf	ring2	node38	514
192	QmXYFMtYVBJBKjgGwf6MmrKhVtNdbVjLQCPLCu99hpAu47	ring3	node35	566
193	QmW4NFHK3eDUd3rHVcSLJasV6BRQCkdzrf4dmwYtWo87XS	ring1	node9	446
194	QmP1T9YjEDqCtYAWUtujPQjpcUZQiSXH9huC9V284Dfe1y	ring3	node31	625
195	QmPAkZFwoMgudNfoC69SDAjBbKBbNewYAWLBD689ssm2QF	ring2	node22	552
196	QmePERuSk6kmLPBknRgSH9NitZLXqQSWQ3yLZzhuhqPTpy	ring1	node13	499
197	QmWhxSCKYs2mmjWdUfxURCSfxdRXQgLUnFhgibbjPQ66T1	ring1	node17	537
198	QmSo4SyCKJJ1T8h6XK7WidyoaLNsKRkbFcGYJ9wxYzLv2s	ring2	node38	614
199	QmaWVDkM9y8RzXD6j9n6CGHg1w65562LkuSvFu35LM3fUp	ring3	node31	503
